Track Name,Album Name,Artist Name(s),Release Date,Popularity,Genres,Danceability,Energy,Key,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Song Number,Message
Didn't Cha Know,Mama's Gun,Erykah Badu,2000-10-31,70,"afrofuturism,alternative r&b,neo soul,r&b",0.753,0.472,3,0.121,0.484,0.0127,0.284,135.276,45,Peek music
cellophane,MAGDALENE,FKA twigs,2019-11-08,56,"afrofuturism,alternative r&b,art pop,escape room,experimental r&b,trip hop",0.431,0.284,2,0.0432,0.871,0.000136,0.0899,98.317,46,I had no idea what she looked like until I saw the music video for this song and was baffled
Strawberry Privilege,Heaven To A Tortured Mind,Yves Tumor,2020-04-03,42,"art pop,escape room,experimental pop,experimental r&b,hypnagogic pop",0.751,0.528,5,0.0494,0.498,0.799,0.126,117.969,47,"I LOVE THIS SONG!! Erik, Carson and I belched the lyrics together when we heard it live (best concert ever)"
Say Yes To Heaven,Say Yes To Heaven,Lana Del Rey,2023-05-19,83,"art pop,pop",0.485,0.348,6,0.0257,0.678,0.167,0.118,99.898,48,TikTok moment
A Forest,Seventeen Seconds,The Cure,1980-04-18,56,"new wave,permanent wave,rock,uk post-punk",0.633,0.62,0,0.0648,0.34,0.605,0.0977,81.117,49,"The first time I met your dad, I talked to him about this album"
Well I Wonder,Meat Is Murder,The Smiths,1985-02-11,64,"madchester,new wave,permanent wave,rock,uk post-punk",0.643,0.59,11,0.0284,0.0806,0.00578,0.174,126.651,50,"I urge you to listen to this album front to back because its such a strange experience; it's banger after banger until the last song, which is this strange, experimental, anti-meat-consumption song/rant"
Colouour,græ,Moses Sumney,2020-05-15,38,"alternative r&b,art pop,indie soul,la pop",0.329,0.268,9,0.0337,0.933,0.0728,0.103,94.99,51,I discovered this song with Carson when we challenged ourselves to listen to 3 albums a week for a year
Runner,Runner,Alex G,2022-06-21,43,"philly indie,pov: indie,slacker rock",0.732,0.703,11,0.0314,0.104,0.0417,0.109,108.979,52,"My first mistake! I accidentally sent this song to you twice over the course of the year. In my defence, both times I did, I was going for an early Roommate Run and it felt like a fitting anthem"
Halloween,Punisher,Phoebe Bridgers,2020-06-18,57,"indie pop,la indie,pov: indie",0.486,0.155,1,0.0376,0.938,0.1,0.1,122.459,53,Halloween Day 2023 (obviously)
Crimewave,Crystal Castles,Crystal Castles,2008-03-18,3,"alternative dance,bitpop,digital hardcore,indietronica,neo-synthpop,new rave,nintendocore",0.746,0.691,4,0.0403,0.184,0.0259,0.205,119.982,54,Fuck Ethan Kath
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,88,"brooklyn indie,pov: indie",0.504,0.308,9,0.0321,0.868,0.135,0.158,113.95,55,TikTok moment
Tomorrow Tomorrow,XO,Elliott Smith,1998-08-25,39,"alternative rock,indie rock,melancholia,singer-songwriter",0.37,0.322,5,0.0317,0.75,7.53e-05,0.223,82.229,56,My favourite Elliott Smith album
Can't Help Falling in Love,Dylan (1973),Bob Dylan,1973-11-16,26,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter",0.471,0.32,4,0.035,0.375,2.12e-05,0.0729,143.086,57,"I had made a smaller, subsiduary playlist to this one of only love songs that made me think of you; this was the first song on the playlist"
Charcoal Baby,Negro Swan,Blood Orange,2018-08-24,63,"alternative r&b,art pop,escape room,indie soul,indietronica,metropopolis",0.622,0.46,7,0.0372,0.14,0.000369,0.119,183.241,58,"I remeber cooking dinner with you at yours, listening to this album"
Stephanie Says,VU,The Velvet Underground,1985-02-02,54,"alternative rock,melancholia,permanent wave,protopunk,rock",0.558,0.204,0,0.0333,0.851,0.000709,0.129,112.531,59,Can you believe they made this while of heroin?
