Track Name,Album Name,Artist Name(s),Release Date,Popularity,Genres,Danceability,Energy,Key,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Song Number,Message
Hit Me Where It Hurts,Pang,Caroline Polachek,2019-10-18,52,"art pop,escape room,indie pop,indietronica",0.732,0.523,4,0.0314,0.133,0.000103,0.264,116.961,264
Swimming,Time 'n' Place,Kero Kero Bonito,2018-10-01,37,"escape room,hyper-rock,japanese electropop",0.679,0.609,2,0.029,0.686,0.0,0.0972,119.998,265
Pyramids,channel ORANGE,Frank Ocean,2012-07-10,76,"lgbtq+ hip hop,neo soul",0.4,0.65,5,0.0466,0.0118,7.62e-05,0.791,107.989,266
Killing Time,Nowhere,Coco And The Bean,1997-01-01,16,,0.683,0.341,2,0.0691,0.0599,0.0353,0.109,172.035,267
Whole Lotta Love,Led Zeppelin II,Led Zeppelin,1969-10-22,72,"album rock,classic rock,hard rock,rock",0.412,0.902,9,0.405,0.0484,0.131,0.405,89.74,268
Lazy Afternoon,The Band And I,Irene Kral,1959-01-01,55,,0.0,0.0379,5,0.0,0.908,0.0,0.108,0.0,269
Highwayman,Highwayman,"The Highwaymen,Willie Nelson,Johnny Cash,Waylon Jennings,Kris Kristofferson",1985-05-01,67,"country,country rock,outlaw country,classic country pop,classic texas country,nashville sound,singer-songwriter,arkansas country,rock",0.67,0.351,2,0.0463,0.48,0.0176,0.115,101.384,270
Poison Tree,Inca Ore / Grouper,Grouper,2008-06-03,76,"ambient,ambient pop,art pop,dream pop,drone,electra,experimental ambient,experimental pop,modern dream pop,spectra",0.224,0.139,11,0.0354,0.961,0.913,0.108,111.316,271
Ram On,Ram,"Paul McCartney,Linda McCartney",1971-05-17,48,"classic rock,mellow gold,rock,soft rock,classic uk pop",0.612,0.407,5,0.0484,0.805,0.79,0.286,128.287,272
Fresh Air,HNDRXX,Future,2017-07-27,44,"atl hip hop,hip hop,rap,southern hip hop,trap",0.817,0.526,0,0.127,0.0223,0.0,0.192,125.014,273
Neptune Estate,6 Feet Beneath The Moon,King Krule,2013-08-24,32,uk alternative pop,0.652,0.657,1,0.233,0.728,0.000263,0.276,79.97,274
i love you very much forever,Horse Jumper of Love,Horse Jumper of Love,2017-04-21,40,"boston indie,countrygaze,new england emo,new england shoegaze,nu gaze,shoegaze,small room",0.479,0.372,3,0.0411,0.496,0.565,0.168,115.55,275
Blackberry Song,Childish Prodigy,Kurt Vile,2009-10-05,50,"art pop,chamber pop,indie rock,modern folk rock,neo-psychedelic,noise pop,philly indie,singer-songwriter",0.536,0.403,1,0.0332,0.869,0.939,0.155,97.882,276
Always On My Mind,Always On My Mind,Willie Nelson,1982-02-01,61,"classic country pop,classic texas country,country,country rock,nashville sound,outlaw country,singer-songwriter",0.524,0.261,2,0.0272,0.755,0.00105,0.144,73.36,277
Diving Woman,Soft Sounds from Another Planet,Japanese Breakfast,2017-07-14,43,"art pop,eugene indie,indie pop,indie rock,philly indie",0.462,0.746,4,0.0384,0.000127,0.634,0.117,120.044,278
Serenade of Water,Untourable Album,Men I Trust,2021-08-25,58,"indie pop,pov: indie",0.638,0.413,8,0.102,0.849,0.905,0.112,159.001,279
"ringtone (Remix)",1000 gecs and The Tree of Clues,"100 gecs,Charli xcx,Rico Nasty,Kero Kero Bonito",2020-07-10,50,"bubblegum bass,hyper-rock,hyperpop,proto-hyperpop,art pop,candy pop,metropopolis,pop,uk pop,alternative r&b,trap queen,escape room,japanese electropop",0.849,0.473,8,0.2,0.115,0.0,0.0488,107.001,280
Wild West End,Dire Straits,Dire Straits,1978-10-07,60,"album rock,classic rock,mellow gold,rock",0.792,0.395,2,0.0379,0.451,0.00148,0.1,132.914,281
Tough,Tough,"Quavo,Lana Del Rey",2024-07-03,78,"atl hip hop,melodic rap,rap,trap,art pop,pop",0.582,0.557,8,0.101,0.452,1.87e-05,0.121,84.989,282
Eye In The Sky,Eye In The Sky,The Alan Parsons Project,1982-06-01,58,"album rock,art rock,classic rock,mellow gold,progressive rock,soft rock,symphonic rock",0.823,0.417,2,0.032,0.562,0.00098,0.0765,111.928,283
Sweet Teeth,Sweet Teeth,rozey,2024-07-03,18,midwest shoegaze,0.319,0.71,10,0.0479,4.67e-06,0.822,0.55,94.06,284
I Go To Sleep,Anika,Anika,2010-11-02,0,"bristol indie,experimental pop",0.597,0.491,9,0.032,0.0228,0.0193,0.0828,141.487,285
Could It Be I'm Falling in Love,Spinners,The Spinners,1973,60,"classic soul,disco,funk,motown,philly soul,quiet storm,soul,southern soul",0.382,0.727,9,0.0861,0.729,0.0,0.196,207.265,286
You And Me,Penny & the Quarters EP,Penny & The Quarters,2011-03-04,56,traditional soul,0.578,0.178,5,0.033,0.946,8.65e-06,0.121,111.555,287
I’ll Have to Say I Love You in a Song,I Got a Name,Jim Croce,1973-12-01,65,"classic rock,country rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",0.537,0.447,9,0.029,0.834,0.0101,0.107,133.794,288
À la fin de l'été,Bubble Gum,Brigitte Bardot,1994-01-01,38,"chanson,ye ye",0.492,0.229,0,0.0405,0.876,0.000291,0.127,119.318,289
Professional,Kiss Land,The Weeknd,2013-09-10,52,"canadian contemporary r&b,canadian pop,pop",0.405,0.619,11,0.0618,0.163,0.000322,0.0788,120.087,290
Love,Van De Velde: Die Vollkommene Ehe & Das Leben Zu Zweit,Peter Thomas Sound Orchester,2009-11-06,21,,0.299,0.159,3,0.0357,0.907,0.836,0.0982,146.217,291
Love and Happiness,I'm Still in Love with You,Al Green,1972-10-23,60,"classic soul,funk,memphis soul,quiet storm,soul,soul blues,southern soul",0.823,0.457,6,0.234,0.206,0.000183,0.0763,99.163,292
Quand Vas Tu Rentrer,Melody's Echo Chamber,Melody's Echo Chamber,2013,37,"dream pop,experimental pop,french psychedelic,french shoegaze,indie rock,neo-psychedelic,noise pop,nu gaze,shiver pop",0.293,0.573,3,0.0323,0.577,0.564,0.0754,92.985,293
Summer Breeze,Seals & Crofts' Greatest Hits,Seals and Crofts,1977-10-11,59,"classic rock,folk rock,mellow gold,singer-songwriter,soft rock,yacht rock",0.49,0.581,5,0.0387,0.553,0.0177,0.0764,88.719,294
Morning Glory,Goodbye And Hello,Tim Buckley,1967,27,"cosmic american,folk,psychedelic folk,singer-songwriter",0.358,0.285,8,0.0325,0.884,0.000477,0.0452,83.858,295
Have You In My Wilderness,Have You In My Wilderness,Julia Holter,2015-09-25,21,"art pop,chamber pop,electra,experimental pop,la indie,spectra",0.22,0.28,4,0.0341,0.616,0.0238,0.332,134.763,296
Ladies and gentlemen we are floating in space,Ladies and gentlemen we are floating in space,Spiritualized,1997-06-16,50,"alternative rock,britpop,chamber pop,noise pop,shoegaze,spacegrunge",0.376,0.41,2,0.034,0.753,0.000543,0.234,100.031,297
Soon-To-Be Innocent Fun/Let's See,World Of Echo,Arthur Russell,1986,31,"art pop,cello,experimental,fourth world,minimalism,modern cello,no wave",0.543,0.142,0,0.067,0.586,0.00889,0.181,101.347,298
Man Is Not A Bird,Haha Sound,Broadcast,2003-08-11,26,"art pop,chamber pop,dream pop,experimental rock,hauntology,indietronica,nu gaze,slowcore",0.356,0.806,2,0.0895,0.133,0.00564,0.105,115.272,299
Yours & Mine,Historian,Lucy Dacus,2018-03-02,41,"art pop,indie pop",0.297,0.385,2,0.0318,0.361,0.000391,0.103,65.82,300
Fly Like An Eagle,Fly Like An Eagle,Steve Miller Band,1976-01-01,62,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",0.561,0.754,9,0.112,0.61,0.0194,0.328,100.08,301
summer depression,summer depression,girl in red,2018-03-03,63,"bedroom pop,indie pop,norwegian indie,pov: indie",0.693,0.308,9,0.0442,0.645,0.476,0.127,129.943,302
I Shall Be Released,Music From Big Pink,The Band,1968-07-01,47,"blues rock,classic canadian rock,classic rock,cosmic american,country rock,folk,folk rock,heartland rock,jam band,mellow gold,rock,roots rock,southern rock,swamp rock",0.445,0.376,4,0.0312,0.321,0.0,0.0702,128.19,303
Lovely Day,Menagerie,Bill Withers,1977-10-29,80,"classic soul,funk,quiet storm,soul",0.692,0.651,9,0.0324,0.292,0.00241,0.105,97.923,304
Crushing,Powders,Eartheater,2023-09-20,48,"art pop,electra,escape room,experimental pop,spectra",0.533,0.813,0,0.0595,0.214,0.00335,0.137,76.001,305
Arrival,Ghosts of the Great Highway,Sun Kil Moon,2003-11-04,26,"indie rock,lo-fi,modern folk rock,post-rock,slowcore",0.399,0.399,7,0.0323,0.443,0.976,0.0988,102.918,306
When You're Smiling And Astride Me,"I Love You, Honeybear",Father John Misty,2015-02-10,44,"art pop,chamber pop,indie rock,singer-songwriter,stomp and holler",0.579,0.522,9,0.0253,0.193,3.91e-05,0.117,110.937,307
Be Your Girl,Be Your Girl,"Teedra Moses,KAYTRANADA",2018-05-04,67,"neo soul,alternative r&b,escape room,indie soul,lgbtq+ hip hop",0.861,0.679,6,0.405,0.209,5.53e-06,0.1,115.092,308
Hot Love,Electric Warrior,T. Rex,1971-09-24,41,"classic rock,glam rock,protopunk,rock,singer-songwriter",0.553,0.533,11,0.047,0.116,0.324,0.0944,131.079,309
Art School,In The City,The Jam,1977-05-20,35,"mod revival,new romantic,new wave,punk,ska revival",0.459,0.827,2,0.0451,0.00904,0.0,0.139,98.277,310
Sweet Emotion,Toys In The Attic,Aerosmith,1975-04-08,72,"album rock,classic rock,hard rock,rock",0.379,0.76,9,0.0378,0.00298,0.0296,0.104,99.436,311
Cada Beijo,Bebel Gilberto,Bebel Gilberto,2004-01-01,10,"bossa nova,downtempo",0.607,0.498,1,0.0326,0.858,0.0173,0.0935,104.038,312
A Girl Like You,Gorgeous George,Edwyn Collins,2011-10-19,66,"britpop,scottish new wave,solo wave",0.619,0.781,5,0.0393,0.0245,0.000293,0.402,126.266,313
Paris 1919,Paris 1919,John Cale,1973-02-25,42,"art rock,melancholia,singer-songwriter",0.742,0.321,0,0.0315,0.963,0.0432,0.11,107.349,314
Forget About,Colour Green,Sibylle Baier,2006-01-01,46,new weird america,0.59,0.106,10,0.0332,0.99,0.648,0.11,97.042,315
Always Forever,Static,Cults,2013-10-15,79,"experimental pop,indie surf,pov: indie",0.174,0.742,8,0.0485,0.00181,0.281,0.198,163.378,316
Make It Forever,Slide,George Clanton,2018-08-17,42,"hypnagogic pop,vaporwave",0.407,0.924,5,0.0788,0.0208,0.0605,0.208,168.038,317
Mis,Rules,Alex G,2012-01-15,68,"philly indie,pov: indie,slacker rock",0.536,0.328,0,0.034,0.804,0.318,0.165,61.204,318
Jungle,If You're Reading This It's Too Late,Drake,2015-02-12,71,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.697,0.235,7,0.0534,0.62,0.000144,0.107,99.947,319
The Passion of Lovers,Mask,Bauhaus,1981,52,"alternative rock,dark wave,dream pop,gothic rock,industrial rock,new wave,post-punk,uk post-punk",0.381,0.517,0,0.0527,0.00389,0.00469,0.282,178.27,320
Zou bisou bisou,"Twistin’ The Rock, Vol. 9",Gillian Hills,2002-01-01,54,ye ye,0.772,0.483,8,0.0381,0.889,0.0102,0.0626,130.989,321
Time (You and I),Mordechai,Khruangbin,2020-06-26,60,"indie soul,neo-psychedelic,world",0.751,0.49,11,0.0455,0.0097,0.15,0.0767,105.418,322
(dream),melanchole,salvia palth,2013-05-06,78,"countrygaze,lo-fi emo,lo-fi indie,pov: indie,slowcore,small room",0.316,0.318,0,0.0339,0.918,0.861,0.119,147.275,323
Pilgrimage,Windswept Adan,Ichiko Aoba,2020-12-02,0,j-acoustic,0.516,0.339,0,0.0337,0.946,0.838,0.0743,80.018,324
Dog,Minecraft - Volume Alpha,C418,2011-03-04,55,"pixel,video game music",0.583,0.529,10,0.038,0.0484,0.917,0.106,112.037,325
Silver Joy,Brothers and Sisters of the Eternal Son,Damien Jurado,2014-01-21,44,"chamber pop,stomp and holler",0.654,0.133,6,0.0443,0.952,0.0753,0.104,76.24,326
Everything Is Embarrassing,"Night Time, My Time",Sky Ferreira,2013-01-01,58,"candy pop,la indie,metropopolis,neo-synthpop",0.667,0.783,0,0.0361,0.0606,1.17e-06,0.0418,117.145,327
Blissful Morning Dream Interpretation Melody,Remote Control,Discovery Zone,2020-06-05,35,experimental indie,0.584,0.733,9,0.0362,0.349,0.867,0.0918,103.953,328
Random Rules,American Water,Silver Jews,1998-10-20,48,"alternative country,alternative rock,chamber pop,gbvfi,indie rock,lo-fi,noise pop,slacker rock",0.575,0.48,0,0.0237,0.468,0.000539,0.0727,105.384,329
je sais pas danser,les failles,Pomme,2019-11-01,52,"french pop,nouvelle chanson francaise",0.633,0.365,6,0.0317,0.867,0.0995,0.11,110.663,330
Sweet,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,81,"ambient pop,dream pop,el paso indie,shoegaze",0.449,0.51,6,0.0278,0.351,0.761,0.139,96.425,331
Love Is Everywhere,Imaginal Disk,Magdalena Bay,2024-08-23,56,la pop,0.576,0.665,9,0.0424,0.0588,0.0469,0.333,90.02,332
Morning Sun,Ode To Quetzalcoatl,Dave Bixby,1969-01-01,46,psychedelic folk,0.314,0.271,4,0.031,0.841,0.00329,0.12,148.461,333
Un Monde Nouveau,Palais d'argile,Feu! Chatterton,2021-03-12,42,"french indie pop,french indietronica,french rock,nouvelle chanson francaise",0.649,0.532,0,0.0316,0.13,0.00114,0.197,107.032,334
Where I'm From,Reachin' (A New Refutation Of Time And Space),Digable Planets,1993-01-01,54,"afrofuturism,east coast hip hop,hip hop,jazz rap,psychedelic hip hop",0.876,0.42,0,0.279,0.188,0.00186,0.0668,98.303,335
Amber,From Chaos,311,2001-06-19,64,"alternative metal,alternative rock,funk metal,funk rock,nu metal,pop rock,rap rock,reggae fusion",0.663,0.697,0,0.0473,0.156,0.0224,0.0663,166.001,336
The Fairest Of The Seasons,Chelsea Girl,Nico,1967-10-09,47,"experimental,melancholia,singer-songwriter",0.349,0.203,6,0.0309,0.958,0.0,0.101,87.856,337
Gold Dust,Stratosphere,Duster,1998-02-24,56,"corecore,dream pop,pov: indie,slowcore",0.58,0.47,3,0.0337,0.863,0.934,0.11,111.459,338
Drawn to the Blood,Carrie & Lowell,Sufjan Stevens,2015-03-31,0,"art pop,baroque pop,chamber pop,indie pop,indie rock,singer-songwriter",0.551,0.0913,10,0.0385,0.953,0.418,0.105,124.005,339
La La Love You,Doolittle,Pixies,1989-04-17,51,"alternative rock,boston rock,permanent wave,rock",0.702,0.653,2,0.0376,0.00089,0.178,0.11,124.499,340
Lonely Fight,Lonely Fight,Mk.gee,2024-08-23,58,experimental r&b,0.451,0.213,7,0.0328,0.808,0.0574,0.0978,114.434,341
Sterling Moss,They Spent Their Wild Youthful Days In The Glittering World Of The Salons,Swirlies,1996,22,"boston rock,new england shoegaze,noise pop,nu gaze,shoegaze",0.61,0.865,8,0.0367,0.00447,0.738,0.104,92.121,342
Liverpool Street In The Rain,"How The Dogs Chill, Vol.1",Mall Grab,2018-09-21,60,"aussietronica,australian house,lo-fi house",0.669,0.801,6,0.0333,0.0104,0.888,0.154,130.042,343
Supersoaker,Trinity,Eartheater,2019-10-18,53,"art pop,electra,escape room,experimental pop,spectra",0.502,0.825,1,0.0367,0.0121,0.689,0.12,177.996,344
Sleeping Lady,Slow Circle,Alex de Grassi,1979-05-01,17,fingerstyle,0.38,0.178,11,0.0367,0.84,0.872,0.106,134.65,345
For Sure,For Sure,Ethel Cain,2024-09-05,53,"countrygaze,indie pop,modern dream pop",0.33,0.392,3,0.0321,0.63,0.52,0.0906,123.0,346
Rotten Apple,Jar Of Flies,Alice In Chains,1994,63,"alternative metal,alternative rock,grunge,hard rock,nu metal,rock",0.31,0.637,3,0.037,0.215,0.116,0.0619,147.4,347
Intentions,Acopia,Acopia,2023-11-24,44,,0.67,0.576,7,0.025,0.377,0.807,0.312,99.967,348
lakes,Mia Gargaret,Gia Margaret,2020-06-12,46,small room,0.391,0.335,5,0.0577,0.967,0.931,0.376,73.722,349
Vanessa,No Depression In Heaven,Midwife,2024-09-06,29,"experimental guitar,nu gaze",0.512,0.278,4,0.0283,0.947,0.779,0.0609,132.851,350
Kinky Love,Flesh Balloon,Pale Saints,1991-06-24,54,"dream pop,dreamgaze,nu gaze,shoegaze",0.374,0.272,1,0.0341,0.13,0.0,0.0641,178.809,351
I Wait for You,1234,alex_g_offline,2023-07-09,75,,0.594,0.304,7,0.036,0.956,0.00579,0.119,122.636,352
Banquet,Silent Alarm,Bloc Party,2005-03-22,57,"alternative dance,alternative rock,dance-punk,indie rock,indietronica,modern rock,neo-synthpop,new rave",0.578,0.892,10,0.0441,0.000139,0.0111,0.215,150.255,353
Truisms 4 Dummies,The Head Hurts but the Heart Knows the Truth,Headache,2023-05-31,47,,0.723,0.687,5,0.0455,0.627,0.0576,0.104,97.999,354
Beetlebum,Blur,Blur,1997-02-10,61,"alternative rock,britpop,madchester,permanent wave,rock",0.542,0.627,0,0.0243,0.0794,0.000517,0.277,89.734,355
鉄鎖,Crumbling,Mid-Air Thief,2018-12-04,11,"folktronica,korean indie rock",0.349,0.774,11,0.14,0.583,0.114,0.422,127.9,356
We Will Always Love You,We Will Always Love You,"The Avalanches,Blood Orange",2020-12-11,46,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,indietronica,new rave,psychedelic hip hop,alternative r&b,art pop,escape room,indie soul,metropopolis",0.535,0.626,2,0.0418,0.4,0.752,0.102,160.106,357
Parsec,Dots And Loops,Stereolab,1997,31,"alternative rock,art pop,experimental,experimental pop,experimental rock,indietronica,neo-psychedelic,no wave,noise pop",0.4,0.741,9,0.052,0.00157,0.776,0.154,88.314,358
Salvation,Feet of Mud,Ivy Knight,2022-07-16,27,,0.466,0.221,7,0.0338,0.96,0.00295,0.124,112.693,359
Black River Mauritius,Mix-Up,Can Candid Band,1976-01-01,6,,0.238,0.294,0,0.0297,0.916,0.447,0.107,86.635,360
Miss You,Miss You,southstar,2022-07-30,63,pop dance,0.682,0.685,6,0.0374,0.0353,0.147,0.261,145.009,361
Soon,Loveless,my bloody valentine,1991-11-04,44,"alternative rock,dream pop,irish shoegaze,noise pop,shoegaze",0.425,0.839,6,0.0385,6.64e-06,0.816,0.433,109.575,362
La montagne,La Montagne,Jean Ferrat,2010-01-01,41,chanson,0.474,0.374,7,0.0312,0.536,0.00885,0.131,114.051,363
Famous Blue Raincoat,Songs Of Love And Hate,Leonard Cohen,1971-03-19,58,"canadian singer-songwriter,melancholia,permanent wave,singer-songwriter",0.474,0.0404,9,0.0387,0.948,0.000263,0.111,119.415,364
Basketball Shoes - Live from the Queen Elizabeth Hall,Ants From Up There,"Black Country, New Road",2022-06-10,35,"crank wave,indie rock,london indie,uk post-punk revival",0.2,0.405,7,0.0395,0.66,0.277,0.142,181.164,365
